Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
3F+iv_lag+d_iv_lag+vix_mom_lag,11.559112548828125,9.750822513668333e-05,0.009874625316268123,0.006843867711722851,0.00013784888142254204,0.004943385720252991,-0.22540918222194373,4.1s,-40.13%,0.50%
3F+iv_lag+d_iv_lag+vix_mom,14.400834083557129,0.00012147989441610468,0.011021791796985855,0.007726720534265041,0.0013469967525452375,0.005696088075637817,-0.5266668823494323,4.1s,-74.58%,-24.58%
3F+iv_lag+d_iv_lag+gamma,10.605101585388184,8.946055578377987e-05,0.009458359042866784,0.006570011842995882,-0.001050077611580491,0.004811465740203857,-0.12427219704238257,4.0s,-28.57%,26.36%
3F+iv_lag+d_iv_lag+theta,9.89287281036377,8.345246792664195e-05,0.009135232231675446,0.00622723950073123,-0.00029860532958991826,0.004510939121246338,-0.04876712024078289,4.0s,-19.93%,6.72%
3F+iv_lag+d_iv_lag+vega,15.067429542541504,0.00012710303718032397,0.01127399827835378,0.007943850941956043,-9.8099721071776e-05,0.005890205502510071,-0.597334262117243,4.1s,-82.66%,-52.31%
3F+iv_lag+d_iv_lag+rho,14.106760025024414,0.00011899919882765543,0.0109086753928997,0.007680776994675398,0.0006308799493126571,0.005668148398399353,-0.49549138768606427,4.0s,-71.02%,6.38%
3F+iv_lag+vix_mom_lag+vix_mom,11.665862083435059,9.840872312990896e-05,0.009920117092550317,0.007021018303930759,-0.00010734888928709552,0.00519128143787384,-0.23672595583693168,4.0s,-41.43%,17.30%
3F+iv_lag+vix_mom_lag+gamma,11.860715866088867,0.00010005243465425676,0.01000262138912879,0.007122746203094721,0.000429235165938735,0.005351796746253967,-0.25738287162056284,4.1s,-43.79%,-1.67%
3F+iv_lag+vix_mom_lag+theta,14.520101547241211,0.0001224859888417159,0.011067338832877392,0.00785079225897789,-0.0010953099699690938,0.005793869495391846,-0.5393107115812545,4.1s,-76.03%,-22.42%
3F+iv_lag+vix_mom_lag+vega,15.270313262939453,0.0001288144861692982,0.011349646962319939,0.008202755823731422,0.0003874123503919691,0.006224900484085083,-0.6188424508167467,4.1s,-85.12%,-5.17%
3F+iv_lag+vix_mom_lag+rho,13.643243789672852,0.00011508915424246363,0.010727961327412754,0.0076768365688622,0.0005242624320089817,0.0057304054498672485,-0.44635292238352364,4.1s,-65.40%,10.66%
3F+iv_lag+vix_mom+gamma,10.317655563354492,8.703577176055078e-05,0.009329296423661903,0.006541172042489052,0.00010806622594827786,0.004864364862442017,-0.09379935638914705,4.1s,-25.08%,24.38%
3F+iv_lag+vix_mom+theta,11.567754745483398,9.758112738186679e-05,0.00987831601953829,0.006967838853597641,5.0443934014765546e-05,0.005129426717758179,-0.22632536217011912,4.1s,-40.24%,-12.12%
3F+iv_lag+vix_mom+vega,11.018811225891113,9.295045110203815e-05,0.009641081428036906,0.006709780544042587,-0.0005172379314899445,0.0049078017473220825,-0.16813054603799182,4.1s,-33.58%,4.75%
3F+iv_lag+vix_mom+rho,14.015960693359375,0.00011823325060828693,0.010873511420341035,0.007731002289801836,0.0003726598515640944,0.005781099200248718,-0.48586553325373294,4.1s,-69.92%,-27.20%
3F+iv_lag+gamma+theta,15.517210960388184,0.00013089722013065236,0.011441032301792192,0.008294607512652874,0.00016950751887634397,0.006240218877792358,-0.6450166665487151,4.1s,-88.12%,-10.71%
3F+iv_lag+gamma+vega,14.349442481994629,0.0001210463746424955,0.011002107736361042,0.008023534901440144,0.0005755970487371087,0.006218902766704559,-0.5212187356878477,4.1s,-73.96%,7.53%
3F+iv_lag+gamma+rho,10.620434761047363,8.958990055293233e-05,0.009465194163509395,0.006713004782795906,0.0007045146776363254,0.005049869418144226,-0.1258977036862543,4.2s,-28.75%,25.99%
3F+iv_lag+theta+vega,12.040236473083496,0.00010156680140945208,0.010078035592785535,0.007062920834869146,-0.0004990607849322259,0.005178466439247131,-0.27641428076032226,4.1s,-45.96%,-13.37%
3F+iv_lag+theta+rho,11.769241333007812,9.928079069558237e-05,0.00996397464346344,0.007004553452134132,-0.0010335438419133425,0.005187630653381348,-0.24768543747036476,4.2s,-42.68%,2.25%
3F+iv_lag+vega+rho,12.77531623840332,0.00010776765142691232,0.010381119950511714,0.007371093612164259,-0.001143136527389288,0.005539894104003906,-0.35434184572548766,4.1s,-54.88%,-8.55%
3F+d_iv_lag+vix_mom_lag+vix_mom,11.624879837036133,9.806301267059878e-05,0.009902677045657844,0.006644397042691708,0.0005172370001673698,0.004727378487586975,-0.2323813298257924,4.1s,-40.93%,9.01%
3F+d_iv_lag+vix_mom_lag+gamma,11.175363540649414,9.42710661828792e-05,0.009709328822471676,0.006503642071038485,-6.038415085640736e-05,0.004680946469306946,-0.18472703155472558,4.1s,-35.48%,3.87%
3F+d_iv_lag+vix_mom_lag+theta,16.638742446899414,0.0001403580281487993,0.011847279356409187,0.008244577795267105,0.0009442751761525869,0.0060428231954574585,-0.7639129032551584,4.0s,-101.71%,-48.89%
3F+d_iv_lag+vix_mom_lag+vega,16.895050048828125,0.00014252014044310705,0.011938179946838925,0.008188210427761078,-0.0003907810605596751,0.005822867155075073,-0.791084685478922,4.0s,-104.82%,-1.54%
