Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
3F+iv_lag+vix_mom_lag+gamma,59.529930114746094,0.00016086344321874832,0.012683195307916232,0.007344855461269617,0.0003204268869012594,0.004697620868682861,0.49924646694944297,13.0s,45.64%,0.33%
3F+iv_lag+vix_mom_lag+theta,54.21516799926758,0.00014650174428618642,0.012103790492493929,0.006600777618587017,0.000277993967756629,0.0039034783840179443,0.5439531531746611,12.9s,50.49%,8.93%
3F+iv_lag+vix_mom_lag+vega,60.09756088256836,0.0001623973109658259,0.01274352035215646,0.00669291615486145,0.00019564578542485833,0.003864586353302002,0.49447167363274813,12.8s,45.12%,-10.85%
3F+iv_lag+vix_mom_lag+rho,63.51645278930664,0.00017163593636065728,0.013100989900028824,0.00708278501406312,0.0008421720704063773,0.004267536103725433,0.46571265782142146,12.9s,42.00%,-5.69%
3F+iv_lag+vix_mom+gamma,50.81550216674805,0.0001373150721271886,0.011718151395471412,0.006349863018840551,-1.5125004210858606e-05,0.0037211477756500244,0.5725504432024503,12.8s,53.60%,20.00%
3F+iv_lag+vix_mom+theta,51.758323669433594,0.00013986279077846754,0.01182635999699263,0.006369057577103376,0.0002713543362915516,0.0036705434322357178,0.5646196225615425,13.0s,52.74%,-1.86%
3F+iv_lag+vix_mom+vega,56.051307678222656,0.0001514634123146546,0.012307047262225599,0.006245437543839216,-0.00023909127048682421,0.003445535898208618,0.5285079236970052,12.9s,48.82%,-8.29%
3F+iv_lag+vix_mom+rho,59.88914108276367,0.00016183411314975389,0.012721403741323278,0.006783898454159498,-0.00039457337697967887,0.004036650061607361,0.49622485813857087,12.9s,45.31%,-6.85%
3F+iv_lag+gamma+theta,44.516380310058594,0.00012029340875267478,0.010967835189893893,0.006346554029732943,-3.031358210137114e-05,0.003893911838531494,0.6255373611909847,13.0s,59.35%,25.67%
3F+iv_lag+gamma+vega,51.52326965332031,0.0001392276212376753,0.011799475464514314,0.006878359243273735,0.00019329616043251008,0.004337117075920105,0.5665968486190832,12.9s,52.95%,-15.74%
3F+iv_lag+gamma+rho,42.565834045410156,0.00011502258804645173,0.010724858416149452,0.006251458078622818,1.7716174625093117e-05,0.0039334967732429504,0.641944955346035,12.8s,61.13%,17.39%
3F+iv_lag+theta+vega,51.21023178100586,0.000138381721538124,0.011763576052294812,0.006193346343934536,0.00015863572480157018,0.00341796875,0.5692300588418726,12.8s,53.24%,-20.31%
3F+iv_lag+theta+rho,53.25796890258789,0.00014391517409803112,0.011996465066761589,0.006422801408916712,0.00027524889446794987,0.003719717264175415,0.5520049151802815,13.0s,51.37%,-4.00%
3F+iv_lag+vega+rho,65.7316665649414,0.0001776219490223107,0.013327488473914007,0.0072271679528057575,6.520649185404181e-05,0.00442032516002655,0.44707873497835404,12.8s,39.98%,-23.42%
3F+d_iv_lag+vix_mom_lag+vix_mom,53.26011276245117,0.00014392096729615384,0.011996706518713953,0.005654044449329376,7.425551302731037e-05,0.003054693341255188,0.5519868814718791,12.8s,51.36%,18.97%
3F+d_iv_lag+vix_mom_lag+gamma,58.02482604980469,0.0001567963088911534,0.012521833287947632,0.006071384996175766,0.00044059811625629663,0.003364086151123047,0.5119070929013869,12.8s,47.01%,-8.95%
3F+d_iv_lag+vix_mom_lag+theta,56.97613525390625,0.0001539625072727933,0.012408162929007392,0.005959866102784872,0.00028674054192379117,0.0032196044921875,0.5207284642705708,12.8s,47.97%,1.81%
3F+d_iv_lag+vix_mom_lag+vega,59.85371398925781,0.00016173838106618517,0.012717640546350772,0.006388222798705101,-0.0006914300029166043,0.0036683455109596252,0.4965228635654978,12.9s,45.34%,-5.05%
3F+d_iv_lag+vix_mom_lag+rho,63.88843536376953,0.00017264111808403803,0.013139296711926329,0.007031555287539959,-0.0006974955322220922,0.004322566092014313,0.46258361688291394,12.9s,41.66%,-6.74%
3F+d_iv_lag+vix_mom+gamma,59.11474609375,0.00015974152133746774,0.012638889244608,0.006243677344173193,-1.756092933646869e-05,0.0035475268959999084,0.5027389095741728,12.9s,46.02%,7.47%
3F+d_iv_lag+vix_mom+theta,58.04109573364258,0.0001568402732861594,0.012523588674423934,0.0061352187767624855,-0.00020578083058353513,0.0034059733152389526,0.5117702356659133,12.9s,47.00%,1.82%
3F+d_iv_lag+vix_mom+vega,56.18301773071289,0.0001518193229046597,0.012321498403386647,0.005746941082179546,3.2001866202335805e-05,0.003030836582183838,0.527400005814427,12.8s,48.70%,3.20%
3F+d_iv_lag+vix_mom+rho,56.65760040283203,0.00015310175348339354,0.012373429333996034,0.005895826034247875,-0.00011868708679685369,0.0032085925340652466,0.5234079139485344,12.8s,48.26%,-0.84%
3F+d_iv_lag+gamma+theta,62.35418701171875,0.00016849522924815573,0.01298057122195151,0.006460370030254126,-0.0003133897844236344,0.003659956157207489,0.47548939858609307,12.9s,43.06%,-10.05%
3F+d_iv_lag+gamma+vega,67.09683990478516,0.00018131095862830896,0.013465175774133397,0.007010393310338259,-0.00023983500432223082,0.004180200397968292,0.4355951775168302,12.9s,38.73%,-7.61%
3F+d_iv_lag+gamma+rho,61.182594299316406,0.00016532931863136587,0.012858044899259213,0.006269531324505806,-0.0006529572419822216,0.0034682154655456543,0.4853445956088498,13.1s,44.13%,8.81%
3F+d_iv_lag+theta+vega,66.13902282714844,0.00017872271851471618,0.01336872164848667,0.006819066591560841,-0.0003551307017914951,0.003956660628318787,0.4436521378512073,12.9s,39.60%,-8.10%
3F+d_iv_lag+theta+rho,60.001983642578125,0.00016213903947300643,0.012733382876243314,0.006103249732404947,0.0007082916563376784,0.003315746784210205,0.49527564972531324,13.0s,45.21%,9.28%
