combo_name,n_features,features,SSE,RMSE,Gain_vs_HW_%,training_time_s,epochs_run
3F+vix_mom_lag+gamma+vega,6,"delta, T, spy_ret, vix_mom_lag, gamma, vega",96.66221618652344,0.016161786592523635,11.730393509617876,12.782048456999973,100
3F+theta+rho,5,"delta, T, spy_ret, theta, rho",97.24522399902344,0.016210452365367212,11.198004824354445,12.924919914999919,100
3F+gamma+rho,5,"delta, T, spy_ret, gamma, rho",97.43396759033203,0.01622617620096108,11.025648725046288,12.698751087999995,100
3F+vix_mom_lag+rho,5,"delta, T, spy_ret, vix_mom_lag, rho",97.90589904785156,0.01626542530944331,10.594692290473152,12.706629822999957,100
3F+theta,4,"delta, T, spy_ret, theta",98.77558898925781,0.016337507796378794,9.800512393454852,12.640213543999948,100
3F+vega+rho,5,"delta, T, spy_ret, vega, rho",100.02381896972656,0.01644041249434278,8.660658854685742,12.857954530999905,100
3F,3,"delta, T, spy_ret",100.48381805419922,0.016478172998976165,8.240598775636998,13.757856283000024,100
3F+gamma+vega,5,"delta, T, spy_ret, gamma, vega",102.314697265625,0.01662761673933078,6.568683999628522,12.853041609999991,100
3F+gamma,4,"delta, T, spy_ret, gamma",103.54780578613281,0.0167275156190382,5.4426390137042535,12.825912017000007,100
3F+rho,4,"delta, T, spy_ret, rho",104.17517852783203,0.016778113212338627,4.86973734418612,12.833872343999985,100
3F+gamma+vega+rho,6,"delta, T, spy_ret, gamma, vega, rho",105.12535858154297,0.016854455971637154,4.00205581623283,12.920134451999957,100
3F+vega,4,"delta, T, spy_ret, vega",105.26648712158203,0.01686576555008725,3.873180634333706,12.598355817000026,100
