Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
3F+vix_lag+vix_mom,48.832794189453125,0.000203458955095987,0.014263903921997898,0.007106189616024494,-0.0009103182819671929,0.0044980645179748535,0.27002742039469263,8.1s,21.45%,0.11%
3F+vix_lag+gamma,52.898128509521484,0.00022039693062259747,0.014845771472799838,0.007291056215763092,0.0005933804204687476,0.004492178559303284,0.2092571403024831,8.2s,14.91%,-8.33%
3F+vix_lag+theta,51.101219177246094,0.00021291021393527056,0.014591443175206165,0.007339630275964737,-0.0002902209816966206,0.0044826120138168335,0.23611807591696032,8.1s,17.80%,3.40%
3F+vix_lag+vega,59.32350158691406,0.00024716786835260614,0.015721573342150148,0.008219212293624878,6.882497109472752e-05,0.005372390151023865,0.11320803563659099,8.1s,4.57%,-16.09%
3F+vix_lag+rho,54.10777282714844,0.00022543684228416142,0.015014554348503368,0.007257569581270218,0.00016983586829155684,0.004449933767318726,0.19117488231172985,8.1s,12.96%,8.79%
3F+iv_lag+d_iv_lag,31.918415069580078,0.00013298619270447884,0.011531963956953682,0.00709036597982049,-6.299312371993437e-05,0.004638850688934326,0.5228704772686035,8.1s,48.66%,41.01%
3F+iv_lag+vix_mom_lag,36.27479553222656,0.0001511367948078919,0.012293770569190393,0.007088756188750267,-0.0003595496527850628,0.0046026259660720825,0.45774952040255046,8.0s,41.65%,-13.65%
3F+iv_lag+vix_mom,35.26242446899414,0.00014691881051857248,0.01212100699276147,0.006930042989552021,0.0012231963919475675,0.004549354314804077,0.47288285710408107,8.1s,43.28%,2.79%
3F+iv_lag+gamma,32.740753173828125,0.00013641241588509007,0.01167957259000046,0.007077402900904417,-0.0007598315714858472,0.0046019405126571655,0.5105778309593055,8.2s,47.33%,7.15%
3F+iv_lag+theta,33.33049774169922,0.000138869551823023,0.011784292588994173,0.006944235414266586,0.00014119726256467402,0.004441842436790466,0.5017620879599001,8.1s,46.38%,-1.80%
3F+iv_lag+vega,36.46705627441406,0.00015193783784384204,0.01232630673980824,0.006963828578591347,-0.0005685666110366583,0.004507631063461304,0.4548755281958594,8.1s,41.34%,-9.41%
3F+iv_lag+rho,38.77912902832031,0.00016157095252473954,0.01271105631034414,0.007534452714025974,0.00026098499074578285,0.005097374320030212,0.4203137190588223,8.1s,37.62%,-6.34%
3F+d_iv_lag+vix_mom_lag,27.413007736206055,0.00011421467893908269,0.010687126785955273,0.005661446135491133,-7.215089135570452e-05,0.003359749913215637,0.5902191487485988,8.2s,55.90%,29.31%
3F+d_iv_lag+vix_mom,29.977933883666992,0.00012490129236194286,0.01117592467592471,0.006337400525808334,-0.0010529065039008856,0.004034191370010376,0.5518775836705236,8.0s,51.78%,-9.36%
3F+d_iv_lag+gamma,29.80681800842285,0.00012418834816623622,0.01114398259897404,0.006009052507579327,-1.880130912468303e-05,0.0035657286643981934,0.5544354937581337,8.1s,52.05%,0.57%
3F+d_iv_lag+theta,32.23486328125,0.00013430465550303525,0.011588988545297439,0.006534232292324305,-3.819989797193557e-05,0.004026539623737335,0.5181400799768164,8.3s,48.15%,-8.15%
3F+d_iv_lag+vega,32.491764068603516,0.00013537501747240156,0.011635077029070394,0.006581445224583149,-0.00012207553663756698,0.004185736179351807,0.5142998219379352,8.3s,47.73%,-0.80%
3F+d_iv_lag+rho,32.4935188293457,0.00013538232857947572,0.011635391208699247,0.006510134320706129,-0.0005339751369319856,0.0040860772132873535,0.5142735910566837,8.3s,47.73%,-0.01%
3F+vix_mom_lag+vix_mom,46.8612060546875,0.00019524444948685072,0.013972989998094563,0.00646703178063035,9.500620944891125e-05,0.003895103931427002,0.2994995261904515,8.2s,24.62%,-44.22%
3F+vix_mom_lag+gamma,52.220458984375,0.00021757346053911662,0.014750371539019504,0.007264278829097748,-3.315492722322233e-05,0.004565119743347168,0.21938722152355572,8.1s,16.00%,-11.44%
3F+vix_mom_lag+theta,50.02341079711914,0.00020841958892692955,0.014436744401939433,0.007093418389558792,0.00018150405958294868,0.004331499338150024,0.252229596394554,8.3s,19.53%,4.21%
3F+vix_mom_lag+vega,52.90532684326172,0.0002204269220553125,0.014846781538613428,0.006941650062799454,-0.0009289655135944486,0.004256784915924072,0.2091495366656969,8.2s,14.90%,-5.76%
3F+vix_mom_lag+rho,55.5517692565918,0.0002314531681891889,0.015213584988068686,0.007538770325481892,-0.0003278532240074128,0.004845961928367615,0.1695894331061777,8.1s,10.64%,-5.00%
3F+vix_mom+gamma,50.992645263671875,0.00021245784713191316,0.014575933833957711,0.006959076039493084,0.000988960382528603,0.004351608455181122,0.23774108318257225,8.1s,17.97%,8.21%
3F+vix_mom+theta,53.263282775878906,0.00022191832432359458,0.014896923317369751,0.007622379809617996,-0.00036305372486822307,0.004883408546447754,0.2037986649850011,8.2s,14.32%,-4.45%
3F+vix_mom+vega,55.5423698425293,0.00023141400608520912,0.01521229785683968,0.007572856731712818,-0.001722750486806035,0.0048860907554626465,0.1697299393918381,8.1s,10.65%,-4.28%
3F+vix_mom+rho,59.17487335205078,0.00024654861758342583,0.015701866691047464,0.008133075200021267,0.0002668767119757831,0.005348652601242065,0.11542979127859698,8.4s,4.81%,-6.54%
3F+gamma+theta,49.8062858581543,0.00020751495068248093,0.014405379227305365,0.007653063628822565,-0.0007063839002512395,0.005044698715209961,0.2554752687838485,8.3s,19.88%,15.83%
3F+gamma+vega,54.97229766845703,0.0002290388340150618,0.015134029008002522,0.007371518295258284,0.000398490228690207,0.004596054553985596,0.17825161140295187,8.0s,11.57%,-10.37%
3F+gamma+rho,59.226200103759766,0.0002467624674653446,0.015708674911186642,0.008198430761694908,-0.0003575128794182092,0.005403384566307068,0.11466253800198922,8.2s,4.73%,-7.74%
3F+theta+vega,57.87239456176758,0.00024112191657021736,0.015528100868110606,0.008234948851168156,-0.0007284192251972854,0.005362778902053833,0.13489977693486677,8.2s,6.91%,2.29%
