Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental,rank,added_features
3F+vix_mom+gamma+theta+vega+rho,49.619590759277344,0.0002023183656165,0.0142238660573175,0.0078355623409152,0.0010909780394285,0.0051046311855316,0.2877855912060331,13.2s,23.56%,0.72%,73,5
3F+vix_lag+vix_mom_lag+vix_mom+gamma+theta+vega,36.670753479003906,0.0001495209209965,0.0122278747538781,0.006319360807538,-0.0004613544151652,0.0038786679506301,0.4736466260718824,12.9s,43.51%,26.10%,2,6
3F+vix_lag+vix_mom_lag+vix_mom+gamma+theta+rho,38.06941986083984,0.0001552238276929,0.0124588854916068,0.0065593891777098,0.0005471523618325,0.0040992200374603,0.4535708790736461,13.3s,41.35%,-3.81%,4,6
3F+vix_lag+vix_mom_lag+vix_mom+gamma+vega+rho,44.44346237182617,0.0001812132774941,0.0134615481091196,0.0071384948678314,-0.0010951225413009,0.0046050548553466,0.3620811096272716,13.3s,31.53%,-16.74%,28,6
3F+vix_lag+vix_mom_lag+vix_mom+theta+vega+rho,46.983642578125,0.0001915705799193,0.0138409024243135,0.0072747864760458,0.0010222103446722,0.0046211779117584,0.3256206528565554,13.0s,27.62%,-5.72%,51,6
3F+vix_lag+vix_mom_lag+gamma+theta+vega+rho,45.04069137573242,0.0001836484123697,0.0135516940774836,0.0075675542466342,0.0006357535603456,0.0050187408924102,0.3535087877797325,12.9s,30.61%,4.14%,37,6
3F+vix_lag+vix_mom+gamma+theta+vega+rho,46.609981536865234,0.0001900470185597,0.013785754189007,0.0077344374731183,-0.0013595132622867,0.0051751285791397,0.3309839936966933,12.8s,28.20%,-3.48%,49,6
3F+vix_mom_lag+vix_mom+gamma+theta+vega+rho,45.7940559387207,0.0001867201726314,0.0136645589987905,0.007379001006484,0.0014981440035626,0.0048000812530517,0.3426953754031964,13.2s,29.45%,1.75%,42,6
3F+vix_lag+vix_mom_lag+vix_mom+gamma+theta+vega+rho,37.21964645385742,0.0001517589710866,0.0123190491145483,0.0065334397368133,0.0008361479267477,0.0041000247001647,0.4657680950401978,13.3s,42.66%,18.72%,3,7
Total,,,,,,,,1664.6s,,,,
